reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
Aerobic hydrolytic dehalogenation by X. autotrophicus GJ10,"1,2-DCA + H2O → products",总反应,还原,"1,2-DCA",ethylene glycol; Cl-,1,NA,NA,3.5-6.3,h,NA,NA,NA,NA,NA,NA,1.5,mM,NA,NA,NA,批次,NA,NA,好氧,Half-life range from Supporting Information; hydrolytic dehalogenation (SN2),"Hydrogen Isotope Fractionation during the Biodegradation of 1,2-Dichloroethane: Potential for Pathway Identification Using a Multi-element (C, CI, and H) Isotope Approach",Environ. Sci. Technol.
Anaerobic dihaloelimination by Dehalococcoides-containing culture,"1,2-DCA → ethene + 2Cl-",总反应,还原,"1,2-DCA",ethene (major); VC (<6%),1,NA,NA,30,h,NA,NA,NA,NA,NA,NA,0.25,mM,NA,NA,NA,批次,NA,NA,厌氧,Experiment lasted ~9 days; reductive dihaloelimination,"Hydrogen Isotope Fractionation during the Biodegradation of 1,2-Dichloroethane: Potential for Pathway Identification Using a Multi-element (C, CI, and H) Isotope Approach",Environ. Sci. Technol.
Anaerobic dihaloelimination by Dehalogenimonas-containing culture,"1,2-DCA → ethene + 2Cl-",总反应,还原,"1,2-DCA",ethene,1,NA,NA,289,h,NA,NA,NA,NA,NA,NA,0.1,mM,NA,NA,NA,批次,NA,NA,厌氧,Experiment lasted ~40 days; reductive dihaloelimination,"Hydrogen Isotope Fractionation during the Biodegradation of 1,2-Dichloroethane: Potential for Pathway Identification Using a Multi-element (C, CI, and H) Isotope Approach",Environ. Sci. Technol.
"cis-DCE reduction in Fe0 PRB, March 2000",cis-DCE + H2 → VC + HCl,总反应,还原,cis-DCE,VC (4.8%),1,0.18,mL·m⁻²·h⁻¹,NA,NA,NA,NA,NA,NA,9.5,buffered,5.5,mg/L,Zero-valent iron,ETI-CC-1004,1.8,批次,温度,NA,厌氧,Stable kSA over 4 years (SD=0.0005),Field monitoring of a permeable reactive barrier for removal of chlorinated organics,Journal of Environmental Engineering
"cis-DCE reduction in Fe0 PRB, August 2003",cis-DCE + H2 → VC + HCl,总反应,还原,cis-DCE,VC,1,0.28,mL·m⁻²·h⁻¹,NA,NA,NA,NA,14.3,°C,10.21,buffered,38,mg/L,Zero-valent iron,ETI-CC-1004,1.8,批次,温度,NA,厌氧,NA,Field monitoring of a permeable reactive barrier for removal of chlorinated organics,Journal of Environmental Engineering
"trans-DCE reduction in Fe0 PRB, March 2000",trans-DCE + H2 → products,总反应,还原,trans-DCE,NA,1,5.38,mL·m⁻²·h⁻¹,NA,NA,NA,NA,NA,NA,9.5,buffered,0.1,mg/L,Zero-valent iron,ETI-CC-1004,1.8,批次,NA,NA,厌氧,Stable kSA (SD=0.0029); no sequential transformation from PCE/TCE,Field monitoring of a permeable reactive barrier for removal of chlorinated organics,Journal of Environmental Engineering
"1,1-DCE reduction in Fe0 PRB, March 2000","1,1-DCE + H2 → products",总反应,还原,"1,1-DCE",NA,1,0.43,mL·m⁻²·h⁻¹,NA,NA,NA,NA,NA,NA,9.5,buffered,0.04,mg/L,Zero-valent iron,ETI-CC-1004,1.8,批次,NA,NA,厌氧,NA,Field monitoring of a permeable reactive barrier for removal of chlorinated organics,Journal of Environmental Engineering
"1,1-DCA reduction in Fe0 PRB, March 2000","1,1-DCA + H2 → products",总反应,还原,"1,1-DCA",NA,1,0.85,mL·m⁻²·h⁻¹,NA,NA,NA,NA,NA,NA,9.5,buffered,0.15,mg/L,Zero-valent iron,ETI-CC-1004,1.8,批次,NA,NA,厌氧,NA,Field monitoring of a permeable reactive barrier for removal of chlorinated organics,Journal of Environmental Engineering
"M. barkeri on methanol, 24h incubation","1,2-DCA → ethylene + CA",总反应,还原,"1,2-dichloroethane",ethylene; chloroethane,NA,NA,NA,NA,NA,NA,NA,37,°C,6.4,initial,329,nmole/culture,NA,NA,NA,批次,NA,NA,厌氧,"Products after 24h: ethylene 4 nmol, CA 34 nmol","Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
"M. mazei on methanol, 24h incubation","1,2-DCA → ethylene + CA",总反应,还原,"1,2-dichloroethane",ethylene; chloroethane,NA,NA,NA,NA,NA,NA,NA,37,°C,6.4,initial,356,nmole/culture,NA,NA,NA,批次,NA,NA,厌氧,"Products after 24h: ethylene 3 nmol, CA 107 nmol","Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
"M. thermoautotrophicum on H2/CO2, 48h","1,2-DCA → ethylene + CA",总反应,还原,"1,2-dichloroethane",ethylene; chloroethane,NA,NA,NA,NA,NA,NA,NA,55,°C,NA,NA,333,nmole/culture,NA,NA,NA,批次,NA,NA,厌氧,"Products after 48h: ethylene 21 nmol, CA 54 nmol","Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
"M. soehngenii on acetate, 96h incubation","1,2-DCA → ethylene + CA",总反应,还原,"1,2-dichloroethane",ethylene; chloroethane,NA,NA,NA,NA,NA,NA,NA,37,°C,NA,NA,246,nmole/culture,NA,NA,NA,批次,NA,NA,厌氧,"Products after 96h: ethylene 9 nmol, CA 29 nmol","Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
"M. barkeri on methanol, ethylene production rate","1,2-DCA → ethylene",第1步,还原,"1,2-dichloroethane",ethylene,NA,1.64,nmol·mg protein⁻¹·h⁻¹,NA,NA,NA,NA,37,°C,NA,NA,~1,mM,NA,NA,NA,批次,methanogenic substrate,NA,厌氧,Initial rate measured at 2-4h,"Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
"M. barkeri on methanol, CA production rate","1,2-DCA → CA",第1步,还原,"1,2-dichloroethane",chloroethane,NA,3.47,nmol·mg protein⁻¹·h⁻¹,NA,NA,NA,NA,37,°C,NA,NA,~1,mM,NA,NA,NA,批次,methanogenic substrate,NA,厌氧,Initial rate measured at 2-4h,"Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
"M. barkeri on H2/CO2, ethylene production","1,2-DCA → ethylene",第1步,还原,"1,2-dichloroethane",ethylene,NA,1.32,nmol·mg protein⁻¹·h⁻¹,NA,NA,NA,NA,37,°C,NA,NA,~1,mM,NA,NA,NA,批次,methanogenic substrate,NA,厌氧,"Cells grown on H2/CO2, highest activity","Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
"M. barkeri on H2/CO2, CA production","1,2-DCA → CA",第1步,还原,"1,2-dichloroethane",chloroethane,NA,6.25,nmol·mg protein⁻¹·h⁻¹,NA,NA,NA,NA,37,°C,NA,NA,~1,mM,NA,NA,NA,批次,methanogenic substrate,NA,厌氧,"Cells grown on H2/CO2, highest activity","Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
"M. barkeri on acetate, ethylene production","1,2-DCA → ethylene",第1步,还原,"1,2-dichloroethane",ethylene,NA,1.3,nmol·mg protein⁻¹·h⁻¹,NA,NA,NA,NA,37,°C,NA,NA,~1,mM,NA,NA,NA,批次,methanogenic substrate,NA,厌氧,Cells grown on acetate,"Reductive dechlorination of 1,2-dichloroethane and chloroethane by cell suspensions of methanogenic bacteria",Biodegradation
Electrocatalytic reduction of gaseous DCA using COF coated carbon electrode at -1.2 V,CH2CH2Cl2 → CH2CHCl → CH2CH2,总反应,还原,"1,2-dichloroethane (DCA)",chloroethene (vinyl chloride); ethene,NA,0.015,mg min⁻¹,NA,NA,NA,NA,20,°C,NA,NA,0.46,mmol,NA,NA,NA,批次,initial_concentration,NA,厌氧,"Initial DCA 200 ppm (0.46 mmol); Applied potential -1.2 V; Current efficiency: 38.54% for ethene, 18.64% for chloroethene; 0.14 mol chloride ion detected; Gel electrolyte used between electrode and membrane",Electrocatalytic reduction of gaseous dichloroethane using carbon organic frame immobilized graphene,Journal of Electroanalytical Chemistry
"1,2-DCA dechlorination by Fe0@FeNC2g",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,4.5E-03,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC2g,ZVI composite,22,批次,NA,NA,厌氧,BET=22 m²/g; reduction capacity=0.026 mol e-/g; kSA=2.0E-04 L/m²/d,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC3g",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,1.9E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC3g,ZVI composite,68,批次,NA,NA,厌氧,BET=68 m²/g; reduction capacity=0.014 mol e-/g; kSA=2.8E-04 L/m²/d,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC4g",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,5.8E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC4g,ZVI composite,135,批次,NA,NA,厌氧,BET=135 m²/g; reduction capacity=0.0054 mol e-/g; kSA=4.3E-04 L/m²/d; kNR=3.0E-02 g·L/m²/d/mol e-; ethene selectivity ~100%,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC5g",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,7.6E-03,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC5g,ZVI composite,145,批次,NA,NA,厌氧,BET=145 m²/g; reduction capacity=0.0054 mol e-/g; kSA=5.2E-05 L/m²/d,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by nZVI",NA,NA,还原,"1,2-DCA",no dechlorination,NA,0,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,nZVI,nanoscale ZVI,NA,批次,NA,NA,厌氧,No dechlorination observed,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Pd-nZVI",NA,NA,还原,"1,2-DCA",no dechlorination,NA,0,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Pd-nZVI,bimetallic ZVI,NA,批次,NA,NA,厌氧,Pd-doped nZVI; no dechlorination,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Ni-nZVI",NA,NA,还原,"1,2-DCA",no dechlorination,NA,0,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Ni-nZVI,bimetallic ZVI,NA,批次,NA,NA,厌氧,Ni-doped nZVI; no dechlorination,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by sulfidated nZVI",NA,NA,还原,"1,2-DCA",no dechlorination,NA,0,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,S-nZVI,sulfidated ZVI,NA,批次,NA,NA,厌氧,Sulfidated nZVI; no dechlorination,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by S-mZVI",NA,NA,还原,"1,2-DCA",no dechlorination,NA,0,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,S-mZVI,sulfidated microscale ZVI,NA,批次,NA,NA,厌氧,Mechanochemically sulfidated microscale ZVI; no dechlorination,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by FeNC+nZVI (0.5 g/L FeNC)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,1.1E-01,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,FeNC+nZVI,ZVI composite mixture,NA,批次,NA,NA,厌氧,FeNC (0.5 g/L) + nZVI (1 g/L),"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by FeNC+nZVI (1 g/L FeNC)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,1.8E-01,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,FeNC+nZVI,ZVI composite mixture,NA,批次,NA,NA,厌氧,FeNC (1 g/L) + nZVI (1 g/L),"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe-N4-C+nZVI",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,1.2E-01,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe-N4-C+nZVI,single-atom Fe catalyst + ZVI,NA,批次,NA,NA,厌氧,Fe single-atom with Fe-N4 structure (1 g/L) + nZVI (1 g/L),"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC3g in H2O",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,1.9E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC3g,ZVI composite,68,批次,NA,NA,厌氧,KIE study in H2O,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC3g in D2O",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,2.1E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC3g,ZVI composite,68,批次,NA,NA,厌氧,KIE study in D2O; KIE=0.9,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC4g (cycle 1)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,5.8E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC4g,ZVI composite,135,批次,NA,NA,厌氧,Cycling experiment run 1 (10 days),"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC4g (cycle 2)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,5.5E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC4g,ZVI composite,135,批次,NA,NA,厌氧,Cycling experiment run 2 (10 days),"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC4g (cycle 3)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,5.2E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC4g,ZVI composite,135,批次,NA,NA,厌氧,Cycling experiment run 3 (10 days),"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC4g (cycle 4)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,5.0E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC4g,ZVI composite,135,批次,NA,NA,厌氧,Cycling experiment run 4 (37 days); 99% removal at 37 days,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC3g (fresh)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,1.9E-02,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC3g,ZVI composite,68,批次,NA,NA,厌氧,Fresh particles; aging study,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC3g (aged 15 days)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,4.8E-03,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC3g,ZVI composite,68,批次,NA,NA,厌氧,Aged 15 days in simulated groundwater,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"1,2-DCA dechlorination by Fe0@FeNC3g (aged 45 days)",C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-DCA",ethene (100%),1,3.8E-03,d⁻¹,NA,NA,NA,NA,25,°C,6.5,initial,10,mg/L,Fe0@FeNC3g,ZVI composite,68,批次,NA,NA,厌氧,Aged 45 days in simulated groundwater,"Modification of Zero-valent Iron with Fe-N4 Coordination Structure Enables Dechlorination of 1,2-Dichloroethane",Environ. Sci. Technol.
"Electrocatalytic dechlorination of 1,2-DCA using SS-CNRs at -2.75 V vs SCE",CH2ClCH2Cl + e- → *CH2ClCH2 + Cl-; *CH2ClCH2 + e- → CH2=CH2 + Cl-,Total reaction,还原,"1,2-dichloroethane",ethylene (yield 55% FE); vinyl chloride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,M,SS-CNRs,carbon nanosphere,1406,批次,potential,NA,厌氧,Catalyst: sea-urchin-like carbon nanospheres; Electrolyte: DMF; Working electrode: carbon cloth,"Sea-Urchin-Like Carbon Nanospheres for Electrocatalytic Dechlorination of 1,2-Dichloroethane",ACS Appl. Nano Mater.
"1,2-DCA reductive dechlorination with acetate as electron donor, without magnetite","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene (via reductive dihaloelimination); VC <1%,1,0.7,μeq·L⁻¹·d⁻¹,NA,NA,NA,NA,25,°C,7.5,initial,0.6,mmol/L,NA,NA,NA,批次,magnetite presence,NA,厌氧,Lag time 118 days; Dehalococcoides mccartyi detected at 1.10±0.31×10¹⁰ cells/mL (28.1% of bacteria); Desulfitobacterium spp. at 1.70±0.58×10¹⁰ cells/mL (42.1% of bacteria),"Impact of magnetite nanoparticles on the syntrophic dechlorination of 1,2-dichloroethane",Science of the Total Environment
"1,2-DCA reductive dechlorination with acetate and magnetite nanoparticles","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene (via reductive dihaloelimination); VC <1%,1,2.3,μeq·L⁻¹·d⁻¹,NA,NA,NA,NA,25,°C,7.5,initial,0.6,mmol/L,magnetite,iron oxide nanoparticles,NA,批次,magnetite presence,NA,厌氧,Lag time 95 days (0.8-fold decrease vs Treatment B); 3.3-fold rate increase vs Treatment B; Dehalococcoides mccartyi at 1.46±0.17×10¹⁰ cells/mL (33.5% of bacteria); Desulfitobacterium spp. at 1.37±0.25×10¹⁰ cells/mL (31.7% of bacteria); magnetite NP size 10-50 nm,"Impact of magnetite nanoparticles on the syntrophic dechlorination of 1,2-dichloroethane",Science of the Total Environment
"1,2-DCA dechlorination without acetate addition","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.046,μeq·L⁻¹·d⁻¹,NA,NA,NA,NA,25,°C,7.5,initial,0.6,mmol/L,magnetite,iron oxide nanoparticles,NA,批次,acetate availability,NA,厌氧,Very low activity (50-fold lower than Treatment E); sustained by organic matter decay; Dehalococcoides mccartyi relative abundance only 1.9%,"Impact of magnetite nanoparticles on the syntrophic dechlorination of 1,2-dichloroethane",Science of the Total Environment
"1,2-DCE hydrodechlorination at 400°C",C2H4Cl2 + H2 → C2H4 + C2H6 + 2HCl,总反应,还原,C2H4Cl2,"C2H4 (91.9%), CH4 (8.1%)",NA,NA,NA,NA,NA,NA,NA,400,°C,NA,NA,NA,NA,NA,NA,NA,批次,H2浓度,NA,NA,"Conversion 98.0%, τ=0.3s",Two Scenarios of Dechlorination of the Chlorinated Hydrocarbons over Nickel-Alumina Catalyst,Catalysts
"1,2-DCE hydrodechlorination at 500°C",C2H4Cl2 + H2 → C2H4 + C2H6 + CH4 + C + 2HCl,总反应,还原,C2H4Cl2,"C2H4 + C2H6 (52.2%), CH4 (47.3%), C (0.5%)",NA,NA,NA,NA,NA,NA,NA,500,°C,NA,NA,NA,NA,NA,NA,NA,批次,H2浓度;温度,NA,NA,"Conversion 99.6%, τ=0.3s",Two Scenarios of Dechlorination of the Chlorinated Hydrocarbons over Nickel-Alumina Catalyst,Catalysts
"1,2-DCE hydrodechlorination at 600°C",C2H4Cl2 + H2 → C2H4 + C2H6 + CH4 + C + 2HCl,总反应,还原,C2H4Cl2,"C2H4 + C2H6 (18.9%), CH4 (76.1%), C (5.0%)",NA,NA,NA,NA,NA,NA,NA,600,°C,NA,NA,NA,NA,NA,NA,NA,批次,H2浓度;温度,NA,NA,"Conversion 99.4%, τ=0.3s",Two Scenarios of Dechlorination of the Chlorinated Hydrocarbons over Nickel-Alumina Catalyst,Catalysts
"1,2-DCE hydrodechlorination at 350°C, optimized for ethylene",C2H4Cl2 + H2 → C2H4 + 2HCl,总反应,还原,C2H4Cl2,"C2H4 (96%), C2H6 (4%)",NA,NA,NA,NA,NA,NA,NA,350,°C,NA,NA,NA,NA,NA,NA,NA,批次,H2浓度,NA,NA,"Conversion 90%, τ=0.4s, ethylene selectivity optimized",Two Scenarios of Dechlorination of the Chlorinated Hydrocarbons over Nickel-Alumina Catalyst,Catalysts
DCA reduction in 0.1M KHCO3 at -0.64V vs RHE with CoPc/CNT catalyst,C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene (100% FE),1,30,s⁻¹,NA,NA,NA,NA,25,°C,8.3,buffered,87,mM,CoPc/CNT,molecular catalyst on carbon nanotube,NA,批次,electrode potential,NA,厌氧,TOF normalized to EA CoPc; stirring at 600 rpm,Efficient electrocatalytic valorization of chlorinated organic water pollutant to ethylene,Nature Nanotechnology
DCA reduction in 0.1M KHCO3 at -0.54V vs RHE with CoPc/CNT catalyst,C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene (~100% FE),1,NA,NA,NA,NA,NA,NA,25,°C,8.3,buffered,87,mM,CoPc/CNT,molecular catalyst on carbon nanotube,NA,批次,electrode potential,NA,厌氧,Current density 32 mA/cm²; stirring at 600 rpm; stable for 6h,Efficient electrocatalytic valorization of chlorinated organic water pollutant to ethylene,Nature Nanotechnology
First dechlorination step activation barrier from DFT,C2H4Cl2 + e- → C2H4Cl* + Cl-,第1步,还原,"1,2-dichloroethane",chloroethyl intermediate,1,NA,NA,NA,NA,0.68,eV,25,°C,NA,NA,NA,NA,CoPc/graphene,molecular catalyst model,NA,批次,electrode potential,NA,厌氧,DFT calculated barrier; RDS; barrier reduces from 0.78 eV at 0V to 0.68 eV at -0.6V,Efficient electrocatalytic valorization of chlorinated organic water pollutant to ethylene,Nature Nanotechnology
DCA reduction Tafel slope analysis,C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene,1,NA,NA,NA,NA,NA,NA,25,°C,8.3,buffered,87,mM,CoPc/CNT,molecular catalyst on carbon nanotube,NA,批次,electrode potential,NA,厌氧,Tafel slope 60 mV/dec; indicates rate-determining chemical step after one-electron transfer,Efficient electrocatalytic valorization of chlorinated organic water pollutant to ethylene,Nature Nanotechnology
DCA reduction at varied concentrations,C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene (>90% FE),1,NA,NA,NA,NA,NA,NA,25,°C,8.3,buffered,8.7 to 87,mM,CoPc/CNT,molecular catalyst on carbon nanotube,NA,批次,reactant concentration,NA,厌氧,High FE (>90%) maintained across concentration range 8.7-87 mM,Efficient electrocatalytic valorization of chlorinated organic water pollutant to ethylene,Nature Nanotechnology
Electrified membrane DCA removal,C2H4Cl2 + 2e- → C2H4 + 2Cl-,总反应,还原,"1,2-dichloroethane",ethylene (73% of removed DCA),1,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,0.5,mM,CoPc/CNT@CM,electrified membrane,NA,柱实验,current density,NA,厌氧,96% DCA removal; residence time ~3s; EEO 0.42 kWh/m³; flow-through mode,Efficient electrocatalytic valorization of chlorinated organic water pollutant to ethylene,Nature Nanotechnology
"1,2-DCE hydrodechlorination over 2 wt.% Ni(N)/C at 210°C, H2:1,2-DCE=1:1","1,2-DCE + H2 → C2H4 + 2HCl",total reaction,还原,"1,2-dichloroethane",ethylene (96.8%); ethane (2.0%); vinyl chloride (0.4%); ethyl chloride (0.6%),NA,13.37,mmol/s·gNi,NA,NA,63.9,kJ/mol,210,°C,NA,NA,NA,NA,Sibunit carbon,active carbon,387,批次,temperature,NA,NA,TOF=0.0107 s⁻¹; selectivity to C2H4=96.8%,"Hydrodechlorination of 1,2-dichloroethane and dichlorodifluoromethane over Ni/C catalysts: The effect of catalyst carbiding",Applied Catalysis A: General
