反应描述,脱氯步骤,反应类型,反应物,产物,速率常数,速率常数_单位,表面反应速率常数,表面反应速率常数_单位,反应级数,半衰期,半衰期_单位,活化能,活化能_单位,温度,温度_单位,pH,氧化还原电位,氧化还原电位_单位,固相矿物类型,矿物比表面积,矿物比表面积_单位,初始浓度,初始浓度_单位,矿物名称,矿物化学式,溶度积,溶度积_单位,沉淀速率常数,沉淀速率常数_单位,溶解速率常数,溶解速率常数_单位,离子活度积,离子活度积_单位,过饱和度,实验体系,其他条件,参考文献
Se(IV) oxidation by permanganate at pH 7.0 in buffered solution,总反应,氧化,Se(IV),Se(VI),2.1,M-1 s-1,NA,NA,1,14.4,h,NA,NA,23,°C,7,NA,NA,NA,NA,NA,500,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Data from Table 1 and Fig. 2e; 方程式: HSeO3- + HMnO4 → SeO42- + Mn(IV); 共存物: phosphate buffer; 共存物浓度: 10; 共存物单位: mM; 影响因素: pH; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: kapp at pH 7.0; stoichiometry 3:2 at neutral pH,Liu et al. (2019)
Se(IV) oxidation by hydrogen peroxide at pH 7.0 in buffered solution,总反应,氧化,Se(IV),Se(VI),0.000023,M-1 s-1,NA,NA,1,~31,y,NA,NA,23,°C,7,NA,NA,NA,NA,NA,250,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Data from Table 1 and Fig. 2f; 方程式: HSeO3- + H2O2 → SeO42- + products; 共存物: phosphate buffer; 共存物浓度: 50; 共存物单位: mM; 影响因素: pH; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: kapp at pH 7.0; extremely slow reaction,Liu et al. (2019)
Se(IV) oxidation by chlorine in Lake Greifensee water at pH 7.0,总反应,氧化,Se(IV),Se(VI) (100% yield),NA,NA,NA,NA,1,NA,NA,NA,NA,23,°C,7,NA,NA,NA,NA,NA,100,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Natural water experiment; Fig. 4a and validation in natural water; 方程式: HSeO3- + HOCl → SeO42- + products; 共存物: DOC 2.8 mg/L; Br- 15 μg/L; 共存物浓度: 2.8; 0.015; 共存物单位: mg/L; mg/L; 尺度: 实验室; 介质: 地下水; 地区: Lake Greifensee, Switzerland; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: Chlorine dose 0-2.0 mg/L; 30 min reaction; 100% Se(VI) yield at >1.5 mg/L Cl2",Liu et al. (2019)
Se(IV) oxidation by ozone in Lake Greifensee water at pH 7.0,总反应,氧化,Se(IV),Se(VI) (100% yield),NA,NA,NA,NA,1,NA,NA,NA,NA,23,°C,7,NA,NA,NA,NA,NA,100,μg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Natural water experiment; Fig. 4b and validation in natural water; 方程式: SeO32- + O3 → SeO42- + products; 共存物: DOC 2.8 mg/L; Br- 15 μg/L; 共存物浓度: 2.8; 0.015; 共存物单位: mg/L; mg/L; 尺度: 实验室; 介质: 地下水; 地区: Lake Greifensee, Switzerland; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: Ozone dose 0-2.0 mg/L; 30 min reaction; 100% Se(VI) yield at >1.5 mg/L O3; •OH contribution <5%",Liu et al. (2019)
Se(IV) oxidation by chlorine with bromide catalysis at pH 7.0,总反应,氧化,Se(IV),Se(VI),NA,NA,NA,NA,1,NA,NA,NA,NA,23,°C,7,NA,NA,NA,NA,NA,200,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Fig. 3 and Fig. 5; bromide enhances oxidation rate; 方程式: HSeO3- + HOCl/HOBr → SeO42- + products; 共存物: Br- (0-2.5 mM); phosphate buffer; 共存物浓度: 0-2.5; 10; 共存物单位: mM; mM; 影响因素: Br- concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: Bromide catalysis: 50% to 90% Se(VI) formation with 50-200 μg/L Br- at 2.0 mg/L Cl2 within 15 min,Liu et al. (2019)
Species-specific rate constant: HOCl + HSeO3-,总反应,氧化,HSeO3-,SeO42-,9.5,M-1 s-1,NA,NA,1,NA,NA,NA,NA,23,°C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Table 1; species-specific kinetics; 方程式: HOCl + HSeO3- → products; 共存物: phosphate buffer; 共存物浓度: 10; 共存物单位: mM; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: k''12 species-specific rate constant,Liu et al. (2019)
Species-specific rate constant: HOCl + SeO32-,总反应,氧化,SeO32-,SeO42-,1800,M-1 s-1,NA,NA,1,NA,NA,NA,NA,23,°C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Table 1; species-specific kinetics; 方程式: HOCl + SeO32- → products; 共存物: phosphate buffer; 共存物浓度: 10; 共存物单位: mM; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: k''13 species-specific rate constant,Liu et al. (2019)
Species-specific rate constant: HOBr + HSeO3-,总反应,氧化,HSeO3-,SeO42-,2300,M-1 s-1,NA,NA,1,NA,NA,NA,NA,23,°C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Table 1; species-specific kinetics; 方程式: HOBr + HSeO3- → products; 共存物: phosphate buffer; 共存物浓度: 10; 共存物单位: mM; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: k''12 species-specific rate constant for bromine,Liu et al. (2019)
Species-specific rate constant: HOBr + SeO32-,总反应,氧化,SeO32-,SeO42-,74000,M-1 s-1,NA,NA,1,NA,NA,NA,NA,23,°C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Table 1; species-specific kinetics; 方程式: HOBr + SeO32- → products; 共存物: phosphate buffer; 共存物浓度: 10; 共存物单位: mM; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: k''13 species-specific rate constant for bromine,Liu et al. (2019)
Species-specific rate constant: O3 + SeO32-,总反应,氧化,SeO32-,SeO42-,17000000,M-1 s-1,NA,NA,1,NA,NA,NA,NA,23,°C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Table 1; species-specific kinetics; 方程式: O3 + SeO32- → products; 共存物: phosphate buffer; tert-butanol; 共存物浓度: 10; 0.2; 共存物单位: mM; mM; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: k''13 species-specific rate constant; dominant reaction pathway,Liu et al. (2019)
Species-specific rate constant: HMnO4 + HSeO3-,总反应,氧化,HSeO3-,SeO42-,540000,M-1 s-1,NA,NA,1,NA,NA,NA,NA,23,°C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Table 1; species-specific kinetics; 方程式: HMnO4 + HSeO3- → products; 共存物: phosphate buffer; 共存物浓度: 10; 共存物单位: mM; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: k''12 species-specific rate constant for permanganate,Liu et al. (2019)
Species-specific rate constant: HMnO4 + SeO32-,总反应,氧化,SeO32-,SeO42-,69000000000,M-1 s-1,NA,NA,1,NA,NA,NA,NA,23,°C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Table 1; species-specific kinetics; 方程式: HMnO4 + SeO32- → products; 共存物: phosphate buffer; 共存物浓度: 10; 共存物单位: mM; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Water Research; 地区(作者): Switzerland; 尾注: k''13 species-specific rate constant for permanganate,Liu et al. (2019)
Arsenic oxide formation on FeS2(100) surface without H2O,rate-determining step,oxidation,Arsenic on FeS2(100),Arsenic oxide,NA,NA,NA,NA,NA,NA,NA,124.08,kJ/mol,298.15-1500,K,NA,NA,NA,pyrite,NA,NA,NA,NA,FeS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: DFT calculation, rate-determining step IM4→TS4→FS; 方程式: As (on FeS2 surface) + O2 → AsO; 共存物: O2; 影响因素: temperature; 尺度: 实验室; 氧: 好氧; 提取方法: 表格直接提取; 期刊: Chemical Engineering Journal; 地区(作者): China; 尾注: Pre-exponential factor A = 3.92×10^13 s^-1; Energy barrier 116.05 kJ/mol for rate-determining step","Zou et al., Chemical Engineering Journal"
Arsenic oxide formation on FeS2(100) surface with H2O,rate-determining step,oxidation,Arsenic on FeS2(100),Arsenic oxide,NA,NA,NA,NA,NA,NA,NA,100.72,kJ/mol,298.15-1500,K,NA,NA,NA,pyrite,NA,NA,NA,NA,FeS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: DFT calculation, rate-determining step IM4'→TS4'→FS'; 方程式: As (on FeS2 surface) + O2 + H2O → AsO; 共存物: O2; H2O; 影响因素: temperature; 尺度: 实验室; 氧: 好氧; 提取方法: 表格直接提取; 期刊: Chemical Engineering Journal; 地区(作者): China; 尾注: Pre-exponential factor A = 3.91×10^13 s^-1; Energy barrier 98.49 kJ/mol for rate-determining step; H2O adsorption energy -61.00 kJ/mol","Zou et al., Chemical Engineering Journal"
Fe3+ adsorption on tripoli in aqueous solution,总反应,吸附,Fe3+,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,25,°C,NA,NA,NA,"mineral sorbent (SiO2 89%, Al2O3 3.9%, Fe2O3 2.38%)",94.6,m²/g,20,mg/L,tripoli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Pseudo-second-order kinetic model, data from Figure 3; R²: 0.999; 催化剂投加: 1; 催化剂单位: g/L; 影响因素: contact time; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: MATEC Web of Conferences; 地区(作者): Tomsk, Russia; 尾注: Contact time 30 min for equilibrium, specific pore volume 0.011 cm³/g",Yurmazova et al. 2016
Fe3+ adsorption isotherm on tripoli,总反应,吸附,Fe3+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,NA,"mineral sorbent (SiO2 89%, Al2O3 3.9%, Fe2O3 2.38%)",94.6,m²/g,10-100,mg/L,tripoli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Langmuir model, data from Figure 4-5 and Table 1; 催化剂投加: 1; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: MATEC Web of Conferences; 地区(作者): Tomsk, Russia; 尾注: A∞=17.27 mg/g, K=0.113 L/mg, Langmuir model better fit",Yurmazova et al. 2016
Ni2+ adsorption isotherm on tripoli,总反应,吸附,Ni2+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,NA,"mineral sorbent (SiO2 89%, Al2O3 3.9%, Fe2O3 2.38%)",94.6,m²/g,10-100,mg/L,tripoli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Langmuir model, data from Figure 4-5 and Table 1; 催化剂投加: 1; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: MATEC Web of Conferences; 地区(作者): Tomsk, Russia; 尾注: A∞=11.614 mg/g, K=0.206 L/mg, Langmuir model better fit",Yurmazova et al. 2016
CrO4²⁻ adsorption isotherm on tripoli,总反应,吸附,CrO4²⁻,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,NA,"mineral sorbent (SiO2 89%, Al2O3 3.9%, Fe2O3 2.38%)",94.6,m²/g,10-100,mg/L,tripoli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Langmuir model, data from Figure 4 and Table 1; 催化剂投加: 1; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: MATEC Web of Conferences; 地区(作者): Tomsk, Russia; 尾注: A∞=1.9988 mg/g, K=0.102 L/mg, Langmuir model better fit",Yurmazova et al. 2016
H2AsO4⁻ adsorption isotherm on tripoli,总反应,吸附,H2AsO4⁻,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,NA,"mineral sorbent (SiO2 89%, Al2O3 3.9%, Fe2O3 2.38%)",94.6,m²/g,10-100,mg/L,tripoli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Langmuir model, data from Figure 4 and Table 1; 催化剂投加: 1; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: MATEC Web of Conferences; 地区(作者): Tomsk, Russia; 尾注: A∞=1.97 mg/g, K=0.07 L/mg, Langmuir model better fit",Yurmazova et al. 2016
H2AsO4⁻ adsorption on tripoli modified by FeO(OH) sample 1,总反应,吸附,H2AsO4⁻,ferric arsenate (FeAsO4),NA,NA,NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,NA,mineral sorbent with 0.96% Fe,98.8,m²/g,10-100,mg/L,tripoli modified by FeO(OH),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Modified tripoli, data from Figure 8 and Table 2; 催化剂投加: 1; 催化剂单位: g/L; 影响因素: iron content in modified tripoli; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: MATEC Web of Conferences; 地区(作者): Tomsk, Russia; 尾注: Specific pore volume 0.042 cm³/g, enhanced adsorption due to FeAsO4 formation (Ksp=5.8×10⁻²¹)",Yurmazova et al. 2016
H2AsO4⁻ adsorption on tripoli modified by FeO(OH) sample 2,总反应,吸附,H2AsO4⁻,ferric arsenate (FeAsO4),NA,NA,NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,NA,mineral sorbent with 2.8% Fe,114,m²/g,10-100,mg/L,tripoli modified by FeO(OH),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Modified tripoli, data from Figure 8 and Table 2; 催化剂投加: 1; 催化剂单位: g/L; 影响因素: iron content in modified tripoli; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: MATEC Web of Conferences; 地区(作者): Tomsk, Russia; 尾注: A∞=33.33 mg/g, specific pore volume 0.052 cm³/g, maximum adsorption capacity increased severalfold",Yurmazova et al. 2016
Arsenate adsorption on CLIFeA from aqueous solution,总反应,吸附,arsenate (As(V)),NA,3.11,μg/gh,NA,NA,pseudo-second-order,NA,NA,NA,NA,18,°C,6.5,NA,NA,zeolite,45.92,m²/g,0.1,mg/L,clinoptilolite-heulandite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from pseudo-second-order model, Table 5; R²: 0.98; 催化剂投加: 100; 催化剂单位: mg/10mL; 影响因素: iron concentration; surface area; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Journal of Hazardous Materials; 地区(作者): Mexico; 尾注: Equilibrium reached at 180 min; qe=7.81 μg/g","Jiménez-Cedillo et al., 2009"
Arsenate adsorption on CLIFeB from aqueous solution,总反应,吸附,arsenate (As(V)),NA,0.44,μg/gh,NA,NA,pseudo-second-order,NA,NA,NA,NA,18,°C,6.5,NA,NA,zeolite,7.82,m²/g,0.1,mg/L,clinoptilolite-heulandite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from pseudo-second-order model, Table 5; R²: 0.97; 催化剂投加: 100; 催化剂单位: mg/10mL; 影响因素: iron concentration; surface area; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Journal of Hazardous Materials; 地区(作者): Mexico; 尾注: Equilibrium reached at ~1000 min; qe=4.84 μg/g","Jiménez-Cedillo et al., 2009"
Arsenate adsorption on CLIMn from aqueous solution,总反应,吸附,arsenate (As(V)),NA,0.15,μg/gh,NA,NA,pseudo-second-order,NA,NA,NA,NA,18,°C,6.5,NA,NA,zeolite,4.61,m²/g,0.1,mg/L,clinoptilolite-heulandite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from pseudo-second-order model, Table 5; thermally treated at 100°C; R²: 0.98; 催化剂投加: 100; 催化剂单位: mg/10mL; 影响因素: manganese concentration; thermal treatment; surface area; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Journal of Hazardous Materials; 地区(作者): Mexico; 尾注: Equilibrium reached at 900 min; qe=2.29 μg/g","Jiménez-Cedillo et al., 2009"
Arsenate adsorption on CLIFeMn from aqueous solution,总反应,吸附,arsenate (As(V)),NA,5.65,μg/gh,NA,NA,pseudo-second-order,NA,NA,NA,NA,18,°C,6.5,NA,NA,zeolite,46.71,m²/g,0.1,mg/L,clinoptilolite-heulandite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from pseudo-second-order model, Table 5; R²: 0.97; 催化剂投加: 100; 催化剂单位: mg/10mL; 影响因素: iron-manganese association; surface area; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取; 期刊: Journal of Hazardous Materials; 地区(作者): Mexico; 尾注: Equilibrium reached at 20 min; qe=6.02 μg/g","Jiménez-Cedillo et al., 2009"
As(III) oxidation by pyrolusite in batch experiment with 0.25 g/L MnO2(s),总反应,氧化,As(III),As(V); Mn(II),0.0012,L·g⁻¹·min⁻¹,NA,NA,2,2,d,NA,NA,22-23,°C,4.5,NA,NA,β-MnO2(s),NA,NA,13,μM,pyrolusite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Fig. 1, batch kinetics; second-order rate constant k=0.0012 L·g⁻¹·min⁻¹ derived from Fig. 3; 方程式: MnO2(s) + H3AsO3 + 2H+ → Mn²⁺ + H3AsO4 + H2O; R²: 0.99; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 0.25; 催化剂单位: g/L; 影响因素: MnO2(s)浓度; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Contaminant Hydrology; 地区(作者): Auburn University, AL, United States; 尾注: Second-order kinetics with respect to both As(III) and MnO2(s); half-life for 0.25 g/L system","Radu et al., 2008"
As(III) oxidation by pyrolusite in batch experiment with 0.5 g/L MnO2(s),总反应,氧化,As(III),As(V); Mn(II),0.0012,L·g⁻¹·min⁻¹,NA,NA,2,NA,NA,NA,NA,22-23,°C,4.5,NA,NA,β-MnO2(s),NA,NA,13,μM,pyrolusite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Fig. 1, batch kinetics; 方程式: MnO2(s) + H3AsO3 + 2H+ → Mn²⁺ + H3AsO4 + H2O; R²: 0.99; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 0.5; 催化剂单位: g/L; 影响因素: MnO2(s)浓度; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Contaminant Hydrology; 地区(作者): Auburn University, AL, United States; 尾注: Second-order kinetics","Radu et al., 2008"
As(III) oxidation by pyrolusite in batch experiment with 2.0 g/L MnO2(s),总反应,氧化,As(III),As(V); Mn(II),0.0012,L·g⁻¹·min⁻¹,NA,NA,2,NA,NA,NA,NA,22-23,°C,4.5,NA,NA,β-MnO2(s),NA,NA,13,μM,pyrolusite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Fig. 1, batch kinetics; 方程式: MnO2(s) + H3AsO3 + 2H+ → Mn²⁺ + H3AsO4 + H2O; R²: 0.99; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 2; 催化剂单位: g/L; 影响因素: MnO2(s)浓度; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Contaminant Hydrology; 地区(作者): Auburn University, AL, United States; 尾注: Second-order kinetics","Radu et al., 2008"
As(III) oxidation by pyrolusite in batch experiment with 10.0 g/L MnO2(s),总反应,氧化,As(III),As(V); Mn(II),0.0012,L·g⁻¹·min⁻¹,NA,NA,2,1,h,NA,NA,22-23,°C,4.5,NA,NA,β-MnO2(s),NA,NA,13,μM,pyrolusite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Fig. 1, batch kinetics; half-life ~1 h; 方程式: MnO2(s) + H3AsO3 + 2H+ → Mn²⁺ + H3AsO4 + H2O; R²: 0.99; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 10; 催化剂单位: g/L; 影响因素: MnO2(s)浓度; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Contaminant Hydrology; 地区(作者): Auburn University, AL, United States; 尾注: Second-order kinetics; half-life for 10 g/L system","Radu et al., 2008"
Column experiment A: As(III) transport through 100% pyrolusite column,总反应,氧化,As(III),As(V) (complete conversion),0.0012,L·g⁻¹·min⁻¹,NA,NA,2,NA,NA,NA,NA,22-23,°C,4.5,NA,NA,β-MnO2(s),NA,NA,13,μM,pyrolusite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,柱实验,"备注: Data from Fig. 7; complete oxidation observed; breakthrough at ~16.5 pore volumes; 方程式: MnO2(s) + H3AsO3 + 2H+ → Mn²⁺ + H3AsO4 + H2O; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 2.35; 催化剂单位: g/cm³; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Contaminant Hydrology; 地区(作者): Auburn University, AL, United States; 尾注: Column: 7 cm length, 1 cm diameter; flow rate 0.3 ml/min; dispersivity 1.0 cm; breakthrough at 16.5 PV (experimental) vs 17.4 PV (model)","Radu et al., 2008"
Column experiment B: As(V) transport through 100% pyrolusite column,总反应,吸附,As(V),adsorbed As(V),NA,NA,NA,NA,NA,NA,NA,NA,NA,22-23,°C,4.5,NA,NA,β-MnO2(s),NA,NA,13,μM,pyrolusite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,柱实验,"备注: Data from Fig. 7; adsorption observed; breakthrough at ~16.5 pore volumes; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 2.35; 催化剂单位: g/cm³; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Contaminant Hydrology; 地区(作者): Auburn University, AL, United States; 尾注: Column: 7 cm length, 1 cm diameter; flow rate 0.3 ml/min; Langmuir isotherm: Kl=2.025 L·μmol⁻¹, qmax=0.053 μmol/g","Radu et al., 2008"
Column experiment C: As(III) transport through 50% pyrolusite column,总反应,氧化,As(III),As(V) (complete conversion),0.0012,L·g⁻¹·min⁻¹,NA,NA,2,NA,NA,NA,NA,22-23,°C,4.5,NA,NA,β-MnO2(s),NA,NA,13,μM,pyrolusite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,柱实验,"备注: Data from Fig. 8; complete oxidation; breakthrough at ~8.9 pore volumes; 方程式: MnO2(s) + H3AsO3 + 2H+ → Mn²⁺ + H3AsO4 + H2O; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 0.96; 催化剂单位: g/cm³; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Contaminant Hydrology; 地区(作者): Auburn University, AL, United States; 尾注: Column: 7 cm length, 1 cm diameter; 50% MnO2(s) + 50% sand; flow rate 0.3 ml/min; breakthrough at 8.9 PV","Radu et al., 2008"
Column experiment D: As(III) transport through low MnO2(s) column,总反应,氧化,As(III),As(V) (78% conversion); As(III) (22% remaining),0.0012,L·g⁻¹·min⁻¹,NA,NA,2,NA,NA,NA,NA,22-23,°C,4.5,NA,NA,β-MnO2(s),NA,NA,13,μM,pyrolusite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,柱实验,"备注: Data from Fig. 9; partial oxidation; As(V) fraction = 0.78 (experimental) vs 0.72 (model); 方程式: MnO2(s) + H3AsO3 + 2H+ → Mn²⁺ + H3AsO4 + H2O; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 0.067; 催化剂单位: g/cm³; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Contaminant Hydrology; 地区(作者): Auburn University, AL, United States; 尾注: Column: 7 cm length, 1 cm diameter; extremely low MnO2(s) content; flow rate 0.3 ml/min; partial oxidation scenario","Radu et al., 2008"
As(III) biosorption by living cells of Bacillus arsenicus MTCC 4380,总反应,生物降解,As(III),NA,0.82873,1/min,NA,NA,1,NA,min,NA,kJ/mol,30,°C,7,NA,mV vs SHE,NA,NA,m²/g,50,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Brouers-Weron-Sototlongo model best fit; data from Table 5; R²: 0.99516; 催化剂投加: 2; 催化剂单位: g/L; 尺度: 实验室; 介质: 水; 氧: 好氧; 提取方法: 表格直接提取; 期刊: Journal of Water Process Engineering; 地区(作者): India; 尾注: kobs from BWS model; qe=23.49 mg/g; τ(half)=13.49 min,Podder & Majumder 2016
As(V) biosorption by living cells of Bacillus arsenicus MTCC 4380,总反应,生物降解,As(V),NA,0.82502,1/min,NA,NA,1,NA,min,NA,kJ/mol,30,°C,7,NA,mV vs SHE,NA,NA,m²/g,50,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Brouers-Weron-Sototlongo model best fit; data from Table 5; R²: 0.99623; 催化剂投加: 2; 催化剂单位: g/L; 尺度: 实验室; 介质: 水; 氧: 好氧; 提取方法: 表格直接提取; 期刊: Journal of Water Process Engineering; 地区(作者): India; 尾注: kobs from BWS model; qe=24.02 mg/g; τ(half)=13.40 min,Podder & Majumder 2016
As(III) biosorption - pseudo second order model,总反应,生物降解,As(III),NA,0.00592,g/mg min,NA,NA,2,NA,min,NA,kJ/mol,30,°C,7,NA,mV vs SHE,NA,NA,m²/g,50,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Alternative kinetic model; data from Table 5; R²: 0.98505; 催化剂投加: 2; 催化剂单位: g/L; 尺度: 实验室; 介质: 水; 氧: 好氧; 提取方法: 表格直接提取; 期刊: Journal of Water Process Engineering; 地区(作者): India; 尾注: PSO model; qe=24.33 mg/g,Podder & Majumder 2016
As(V) biosorption - pseudo second order model,总反应,生物降解,As(V),NA,0.00585,g/mg min,NA,NA,2,NA,min,NA,kJ/mol,30,°C,7,NA,mV vs SHE,NA,NA,m²/g,50,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,备注: Alternative kinetic model; data from Table 5; R²: 0.98668; 催化剂投加: 2; 催化剂单位: g/L; 尺度: 实验室; 介质: 水; 氧: 好氧; 提取方法: 表格直接提取; 期刊: Journal of Water Process Engineering; 地区(作者): India; 尾注: PSO model; qe=24.86 mg/g,Podder & Majumder 2016
