reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
CT degradation at CT=0.5mM,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, CHCl3, CH2Cl2",NA,NA,NA,NA,NA,NA,NA,25,°C,6,initial,0.5,mM,biopolymer support,NA,NA,批次,反应物浓度,NA,NA,Fe(II) 5mM,,Korean J. Chem. Eng.
CT degradation at CT=1mM,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, CHCl3, CH2Cl2",NA,NA,NA,NA,NA,NA,NA,25,°C,6,initial,1,mM,biopolymer support,NA,NA,批次,反应物浓度,NA,NA,Fe(II) 5mM,,Korean J. Chem. Eng.
CT degradation at CT=2mM,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, CHCl3, CH2Cl2",NA,NA,NA,NA,NA,NA,NA,25,°C,6,initial,2,mM,biopolymer support,NA,NA,批次,反应物浓度,NA,NA,Fe(II) 5mM,,Korean J. Chem. Eng.
CT degradation at CT=4mM,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, CHCl3, CH2Cl2",NA,NA,NA,NA,NA,NA,NA,25,°C,6,initial,4,mM,biopolymer support,NA,NA,批次,反应物浓度,NA,NA,"Fe(II) 5mM, reactant-limiting kinetics",,Korean J. Chem. Eng.
Classic Fenton CT degradation at pH 6,CCl4 → products + Cl-,总反应,还原,CCl4,"Cl-, CHCl3, CH2Cl2",NA,NA,NA,NA,NA,NA,NA,25,°C,6,initial,0.1,mM,NA,NA,NA,批次,NA,NA,NA,"Aqueous Fe(II) 5mM, control for comparison, Fe precipitation occurred",,Korean J. Chem. Eng.
CT dechlorination with chloride mass balance,CCl4 → CHCl3 + CH2Cl2 + Cl-,总反应,还原,CCl4,CHCl3 (trace); CH2Cl2 (trace); Cl-,NA,NA,NA,NA,NA,NA,NA,25,°C,6,initial,0.94,mM,biopolymer support,NA,NA,批次,NA,NA,NA,"Fe(II) 5mM, CF and DCM detected near detection limit",,Korean J. Chem. Eng.
"CCl4 degradation by non-acid washed ZVI, 20 g/L dosage, pH 7",CCl4 → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3 (75.69%),1,0.1139,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage; pH,NA,厌氧,kobs for CCl4; stirring rate 200 r/min,Degradation Characteristics of Carbon Tetrachloride by Granular Sponge Zero Valent Iron,Int. J. Environ. Res. Public Health
"CHCl3 degradation by non-acid washed ZVI, 20 g/L dosage, pH 7",CHCl3 → further products,第2步,还原,CHCl3,NA,1,0.0109,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage; pH,NA,厌氧,kobs for CHCl3; k3 value,,Int. J. Environ. Res. Public Health
"CCl4 degradation by acid-washed ZVI, 20 g/L dosage, pH 7",CCl4 → CHCl3 + Cl-,第1步,还原,CCl4,CHCl3 (79.80%),1,0.1167,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage; pH,NA,厌氧,Acid-washed ZVI; kobs for CCl4,,Int. J. Environ. Res. Public Health
"CHCl3 degradation by acid-washed ZVI, 20 g/L dosage, pH 7",CHCl3 → further products,第2步,还原,CHCl3,NA,1,0.0122,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage; pH,NA,厌氧,Acid-washed ZVI; k3 value,,Int. J. Environ. Res. Public Health
"CCl4 degradation, ZVI dosage 5 g/L, pH 7",CCl4 → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.0325,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage,NA,厌氧,kSA = 0.0833 L/(h·m²),,Int. J. Environ. Res. Public Health
"CCl4 degradation, ZVI dosage 10 g/L, pH 7",CCl4 → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.0649,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage,NA,厌氧,kSA = 0.0832 L/(h·m²),,Int. J. Environ. Res. Public Health
"CCl4 degradation, ZVI dosage 20 g/L, pH 7",CCl4 → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.1058,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage,NA,厌氧,kSA = 0.0678 L/(h·m²),,Int. J. Environ. Res. Public Health
"CCl4 degradation, ZVI dosage 30 g/L, pH 7",CCl4 → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.1437,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage,NA,厌氧,kSA = 0.0614 L/(h·m²),,Int. J. Environ. Res. Public Health
"CCl4 degradation, ZVI dosage 40 g/L, pH 7",CCl4 → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.1788,h⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,ZVI dosage,NA,厌氧,kSA = 0.0573 L/(h·m²),,Int. J. Environ. Res. Public Health
"CCl4 degradation at pH 5, ZVI 20 g/L",CCl4 → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.164,h⁻¹,NA,NA,NA,NA,25,°C,5,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,pH,NA,厌氧,Calculated from Equation 9,,Int. J. Environ. Res. Public Health
"CCl4 degradation at pH 6, ZVI 20 g/L",CCl4 → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.14,h⁻¹,NA,NA,NA,NA,25,°C,6,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,pH,NA,厌氧,Calculated from Equation 9,,Int. J. Environ. Res. Public Health
"CCl4 degradation at pH 8, ZVI 20 g/L",CCl4 → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.092,h⁻¹,NA,NA,NA,NA,25,°C,8,initial,20,mg/L,Zero valent iron,0.078,m²/g,批次,pH,NA,厌氧,Calculated from Equation 9; R² for pH trend,,Int. J. Environ. Res. Public Health
"CT reduction by nZVI at pH 5.5, 30°C",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0435,min⁻¹,NA,NA,44.42,kJ/mol,30,°C,5.5,initial,3,mg/L,NA,NA,NA,批次,pH,NA,厌氧,nZVI removal 50.4% after 50 min,"Reduction of carbon tetrachloride by nanoscale palladized zero-valent iron@ graphene composites: Kinetics, activation energy, effects of reaction conditions and degradation mechanism","Applied Catalysis A, General"
"CT reduction by P-0.75FGC at pH 5.5, 30°C",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0435,min⁻¹,NA,NA,30.18,kJ/mol,30,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,pH,NA,厌氧,P-0.75FGC removal 93.5% after 50 min,,"Applied Catalysis A, General"
"CT reduction by nZVI at pH 7.0, 30°C",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0318,min⁻¹,NA,NA,NA,NA,30,°C,7,initial,3,mg/L,NA,NA,NA,批次,pH,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC at pH 3.5, 30°C",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0289,min⁻¹,NA,NA,NA,NA,30,°C,3.5,initial,3,mg/L,NA,82.42,m²/g,批次,pH,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC at pH 8.5, 30°C",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0256,min⁻¹,NA,NA,NA,NA,30,°C,8.5,initial,3,mg/L,NA,82.42,m²/g,批次,pH,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC at pH 10.0, 30°C",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0223,min⁻¹,NA,NA,NA,NA,30,°C,10,initial,3,mg/L,NA,82.42,m²/g,批次,pH,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by nZVI at 10°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0036,min⁻¹,NA,NA,44.42,kJ/mol,10,°C,5.5,initial,3,mg/L,NA,14.56,m²/g,批次,温度,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by nZVI at 20°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0072,min⁻¹,NA,NA,44.42,kJ/mol,20,°C,5.5,initial,3,mg/L,NA,14.56,m²/g,批次,温度,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by nZVI at 30°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0135,min⁻¹,NA,NA,44.42,kJ/mol,30,°C,5.5,initial,3,mg/L,NA,14.56,m²/g,批次,温度,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by nZVI at 35°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0166,min⁻¹,NA,NA,44.42,kJ/mol,35,°C,5.5,initial,3,mg/L,NA,14.56,m²/g,批次,温度,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by nZVI at 40°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0223,min⁻¹,NA,NA,44.42,kJ/mol,40,°C,5.5,initial,3,mg/L,NA,14.56,m²/g,批次,温度,NA,厌氧,NA,,"Applied Catalysis A, General"
"CT reduction by Pd/Fe at 10°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0139,min⁻¹,NA,NA,34.69,kJ/mol,10,°C,5.5,initial,3,mg/L,NA,NA,NA,批次,温度,NA,厌氧,Pd/Fe bimetallic nanoparticles,,"Applied Catalysis A, General"
"CT reduction by Pd/Fe at 20°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0234,min⁻¹,NA,NA,34.69,kJ/mol,20,°C,5.5,initial,3,mg/L,NA,NA,NA,批次,温度,NA,厌氧,Pd/Fe bimetallic nanoparticles,,"Applied Catalysis A, General"
"CT reduction by Pd/Fe at 30°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0382,min⁻¹,NA,NA,34.69,kJ/mol,30,°C,5.5,initial,3,mg/L,NA,NA,NA,批次,温度,NA,厌氧,Pd/Fe bimetallic nanoparticles,,"Applied Catalysis A, General"
"CT reduction by Pd/Fe at 35°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0477,min⁻¹,NA,NA,34.69,kJ/mol,35,°C,5.5,initial,3,mg/L,NA,NA,NA,批次,温度,NA,厌氧,Pd/Fe bimetallic nanoparticles,,"Applied Catalysis A, General"
"CT reduction by Pd/Fe at 40°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0557,min⁻¹,NA,NA,34.69,kJ/mol,40,°C,5.5,initial,3,mg/L,NA,NA,NA,批次,温度,NA,厌氧,Pd/Fe bimetallic nanoparticles,,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC at 10°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0218,min⁻¹,NA,NA,30.18,kJ/mol,10,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,温度,NA,厌氧,"Fe/GO=2:1, Pd/Fe=0.75%",,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC at 20°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0361,min⁻¹,NA,NA,30.18,kJ/mol,20,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,温度,NA,厌氧,"Fe/GO=2:1, Pd/Fe=0.75%",,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC at 30°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0474,min⁻¹,NA,NA,30.18,kJ/mol,30,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,温度,NA,厌氧,"Fe/GO=2:1, Pd/Fe=0.75%",,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC at 35°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0603,min⁻¹,NA,NA,30.18,kJ/mol,35,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,温度,NA,厌氧,"Fe/GO=2:1, Pd/Fe=0.75%",,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC at 40°C, pH 5.5",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0796,min⁻¹,NA,NA,30.18,kJ/mol,40,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,温度,NA,厌氧,"Fe/GO=2:1, Pd/Fe=0.75%",,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC, dosage 0.3 g/L",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,NA,min⁻¹,NA,NA,NA,NA,30,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,催化剂投加量,NA,厌氧,"Fe/GO=2:1, Pd/Fe=0.75%",,"Applied Catalysis A, General"
"CT reduction by P-0.75FGC, dosage 0.4 g/L",CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,NA,min⁻¹,NA,NA,NA,NA,30,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,催化剂投加量,NA,厌氧,"Fe/GO=2:1, Pd/Fe=0.75%",,"Applied Catalysis A, General"
CT reduction by FGC (Pd/Fe=0%),CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.0132,min⁻¹,NA,NA,NA,NA,30,°C,5.5,initial,3,mg/L,NA,NA,NA,批次,Pd含量,NA,厌氧,"47% removal after 50 min, no Pd",,"Applied Catalysis A, General"
CT reduction by P-0.75FGC (Pd/Fe=0.75%),CCl4 + Fe0 + H+ → products + Fe2+ + Cl-,总反应,还原,CCl4,NA,1,0.045,min⁻¹,NA,NA,NA,NA,30,°C,5.5,initial,3,mg/L,NA,82.42,m²/g,批次,Pd含量,NA,厌氧,"94% removal after 50 min, optimal Pd dosage",,"Applied Catalysis A, General"
CT reduction by Ni4/Fe@Fe3O4 in ultrapure water,CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CF; DCM,1,0.1972,min⁻¹,NA,NA,NA,NA,30,°C,7,initial,10,mg/L,bimetallic nanoparticles,5.863,m²/g,批次,NA,NA,厌氧,Pseudo first-order kinetics; CF and DCM as intermediates/products,Insight into the action of magnetite loaded with nano Ni/Fe bimetallic particles (Ni4/Fe@Fe3O4) toward carbon tetrachloride degradation in aqueous solution,Journal of Water Process Engineering
CF reduction by Ni4/Fe@Fe3O4,CHCl3 + e- → CHCl2• + Cl-,总反应,还原,CHCl3,DCM,1,0.0172,min⁻¹,NA,NA,NA,NA,30,°C,7,initial,8,mg/L,bimetallic nanoparticles,5.863,m²/g,批次,NA,NA,厌氧,Pseudo first-order kinetics,,Journal of Water Process Engineering
DCM reduction by Ni4/Fe@Fe3O4,CH2Cl2 + e- → products,总反应,还原,CH2Cl2,NA,1,0.004,min⁻¹,NA,NA,NA,NA,30,°C,7,initial,6,mg/L,bimetallic nanoparticles,5.863,m²/g,批次,NA,NA,厌氧,Pseudo first-order kinetics; slow degradation,,Journal of Water Process Engineering
"CT reduction in glucose ACM reactor, HRT=36h, pH=7",CCl4 → CHCl3 + Cl-,第1步,还原,CCl4,"CHCl3 (CF, major product); CH2Cl2 (DCM, trace)",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,buffered,2.5,mg/L,NA,NA,NA,批次,HRT/pH/co-substrate type,NA,厌氧,"Glucose co-metabolism substrate, average removal 82.45±2.56%",,Chemosphere
"CT reduction in methanol ACM reactor, HRT=36h, pH=7",CCl4 → CHCl3 + Cl-,第1步,还原,CCl4,"CHCl3 (CF, major product); CH2Cl2 (DCM, trace)",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,buffered,2.5,mg/L,NA,NA,NA,批次,HRT/pH/co-substrate type,NA,厌氧,"Methanol co-metabolism substrate, average removal 66±2.77%",,Chemosphere
"CT reduction in sodium formate ACM reactor, HRT=36h, pH=7",CCl4 → CHCl3 + Cl-,第1步,还原,CCl4,"CHCl3 (CF, major product); CH2Cl2 (DCM, trace)",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,buffered,2.5,mg/L,NA,NA,NA,批次,HRT/pH/co-substrate type,NA,厌氧,"Sodium formate co-metabolism substrate, average removal 60.9±4.97%",,Chemosphere
CHCl3 → CH2Cl2 sequential dechlorination,CHCl3 → CH2Cl2 + Cl-,第2步,还原,CHCl3,CH2Cl2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,buffered,NA,NA,NA,NA,NA,批次,co-substrate type,NA,厌氧,"DCM detected at trace levels, sequential dechlorination pathway",,Chemosphere
CCl4 reduction by Fe0 in dark,CCl4 + e- → •CCl3 + Cl-,总反应,还原,CCl4,HCCl3; Cl-,1,0.68,h⁻¹,NA,NA,NA,NA,NA,NA,7,NA,85,μM,NA,0.019,m²/g,批次,NA,NA,厌氧,"Dark control, kD corrected for no-Fe loss",,J. Phys. Chem. B
CCl4 reduction by Fe0 under AM0 light,CCl4 + 2e- → :CCl2 + 2Cl-,总反应,还原,CCl4,:CCl2; Cl-; CO,1,0.88,h⁻¹,NA,NA,NA,NA,NA,NA,7,NA,85,μM,NA,0.019,m²/g,批次,光照,NA,厌氧,"kL+D=kD+kL, AM0 filter, 720 W/m² (280-700nm)",,J. Phys. Chem. B
CCl4 photodegradation by conduction-band e- (AM0),CCl4 + 2e-(CB) → :CCl2 + 2Cl-,总反应,还原,CCl4,:CCl2; Cl-,1,0.2,h⁻¹,NA,NA,NA,NA,NA,NA,7,NA,85,μM,NA,0.019,m²/g,批次,光照,NA,厌氧,"kL=kL+D-kD, AM0, photogenerated electrons only",,J. Phys. Chem. B
CCl4 photodegradation by conduction-band e- (AM1),CCl4 + 2e-(CB) → :CCl2 + 2Cl-,总反应,还原,CCl4,:CCl2; Cl-,1,0.12,h⁻¹,NA,NA,NA,NA,NA,NA,7,NA,85,μM,NA,0.019,m²/g,批次,光照强度,NA,厌氧,"AM1 filter, 575 W/m² (280-700nm), lower intensity",,J. Phys. Chem. B
"CCl4 reduction in 0.1M isopropyl alcohol, dark",CCl4 + e- → •CCl3 + Cl-,总反应,还原,CCl4,HCCl3; Cl-,1,0.47,h⁻¹,NA,NA,NA,NA,NA,NA,7,NA,85,μM,NA,0.019,m²/g,批次,共存物质,NA,厌氧,kD with isopropyl alcohol present,,J. Phys. Chem. B
"CCl4 reduction in 0.1M isopropyl alcohol, AM1 light",CCl4 + (CH3)2(•C)OH → •CCl3 + products,总反应,还原,CCl4,HCCl3; acetone; Cl-,1,0.18,h⁻¹,NA,NA,NA,NA,NA,NA,7,NA,85,μM,NA,0.019,m²/g,批次,光照强度;共存物质,NA,厌氧,"kL with isopropyl alcohol, AM1, α-hydroxyalkyl radical pathway",,J. Phys. Chem. B
"CCl4 reduction in 0.1M isopropyl alcohol, AM0 light",CCl4 + (CH3)2(•C)OH → •CCl3 + products,总反应,还原,CCl4,HCCl3; acetone; Cl-,1,0.64,h⁻¹,NA,NA,NA,NA,NA,NA,7,NA,85,μM,NA,0.019,m²/g,批次,光照强度;共存物质,NA,厌氧,"kL with isopropyl alcohol, AM0, shows intensity effect",,J. Phys. Chem. B
CT reduction by nano-Ni/Fe in batch reactor,CT → CF + DCM + CH4,总反应,还原,CT,CF (~25% peak at 0.5h); DCM (~15%); CH4 (~27%),1,4.242,h⁻¹,0.16,h,NA,NA,20,°C,NA,NA,26.28,mg/L,NA,52.61,m²/g,批次,NA,NA,厌氧,Ni content 2% wt.; particle size 20-60nm; surface-area-normalized rate KSA=10.08 mL/(m²·h) from abstract; t50-N=0.07h; CT degradation rate ~5 times faster than PCE,Degradation of tetrachloromethane and tetrachloroethene by Ni/Fe bimetallic nanoparticles,Journal of Physics: Conference Series
CCl4 transformation with biotite and HS- at 25°C,CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2 (80-85%); CHCl3 (5-15%); CO2; CO; non-volatile,1,0.00027,day⁻¹,2600,d,122,kJ/mol,25,°C,8.6,initial,1,µM,NA,NA,NA,批次,温度,NA,厌氧,Calculated from 50°C data using Ea; half-life calculated from k,"TRANSFORMATION OF CARBON-TETRACHLORIDE IN THE PRESENCE OF SULFIDE, BIOTITE, AND VERMICULITE",Environ. Sci. Technol.
CCl4 transformation with vermiculite and HS- at 25°C,CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2 (80-85%); CHCl3 (5-15%); CO2; CO; non-volatile,1,0.0043,day⁻¹,160,d,91.3,kJ/mol,25,°C,8.6,initial,1,µM,sheet silicate,2.94,m²/g,批次,温度;矿物表面积,NA,厌氧,SC=114 m²/L; calculated from 50°C using Ea,,Environ. Sci. Technol.
CCl4 transformation with biotite and HS- at 25°C,CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2 (80-85%); CHCl3 (5-15%); CO2; CO; non-volatile,1,0.014,day⁻¹,50,d,59.9,kJ/mol,25,°C,8.6,initial,1,µM,sheet silicate,1.45,m²/g,批次,温度;矿物表面积,NA,厌氧,SC=55.8 m²/L; calculated from 50°C using Ea,,Environ. Sci. Technol.
CCl4 transformation homogeneous at 50°C,CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2 (80-85%); CHCl3 (5-15%); CO2; CO; non-volatile,1,0.02,day⁻¹,NA,NA,122,kJ/mol,50,°C,8.6,initial,1,µM,NA,NA,NA,批次,温度,NA,厌氧,Average k'obs for homogeneous system,,Environ. Sci. Technol.
CCl4 transformation with vermiculite at 50°C,CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2 (80-85%); CHCl3 (5-15%); CO2; CO; non-volatile,1,0.081,day⁻¹,NA,NA,91.3,kJ/mol,50,°C,8.6,initial,1,µM,sheet silicate,2.94,m²/g,批次,温度;矿物表面积,NA,厌氧,SC=114 m²/L,,Environ. Sci. Technol.
CCl4 transformation with biotite at 50°C,CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2 (80-85%); CHCl3 (5-15%); CO2; CO; non-volatile,1,0.12,day⁻¹,NA,NA,59.9,kJ/mol,50,°C,8.6,initial,1,µM,sheet silicate,1.45,m²/g,批次,温度;矿物表面积,NA,厌氧,SC=55.8 m²/L; average k'obs,,Environ. Sci. Technol.
CCl4 to CS2 with biotite at 50°C,CCl4 + HS- → CS2,第1步,还原,CCl4,CS2,1,0.15,day⁻¹,NA,NA,NA,NA,50,°C,8.6,initial,1,µM,sheet silicate,1.45,m²/g,批次,NA,NA,厌氧,k'CS2 from curve fitting; SC=55.8 m²/L,,Environ. Sci. Technol.
CS2 to CO2 with biotite at 50°C,CS2 + OH- → CO2,第2步,氧化,CS2,CO2,1,0.06,day⁻¹,NA,NA,NA,NA,50,°C,8.6,initial,NA,NA,sheet silicate,1.45,m²/g,批次,NA,NA,厌氧,k'CO2 from curve fitting; SC=55.8 m²/L,,Environ. Sci. Technol.
CCl4 to CHCl3 with biotite at 50°C,CCl4 + e- → CHCl3,第1步,还原,CCl4,CHCl3,1,0.022,day⁻¹,NA,NA,NA,NA,50,°C,8.6,initial,1,µM,sheet silicate,1.45,m²/g,批次,NA,NA,厌氧,k'CHCl3 from curve fitting; SC=55.8 m²/L,,Environ. Sci. Technol.
CCl4 transformation with biotite at 37.5°C,CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2; CHCl3; CO2; CO; non-volatile,1,NA,day⁻¹,NA,NA,59.9,kJ/mol,37.5,°C,8.6,initial,1,µM,sheet silicate,1.45,m²/g,批次,温度,NA,厌氧,SC=55.8 m²/L; used for Ea determination,,Environ. Sci. Technol.
CCl4 transformation with biotite at 62.7°C,CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2; CHCl3; CO2; CO; non-volatile,1,NA,day⁻¹,NA,NA,59.9,kJ/mol,62.7,°C,8.6,initial,1,µM,sheet silicate,1.45,m²/g,批次,温度,NA,厌氧,SC=55.8 m²/L; used for Ea determination,,Environ. Sci. Technol.
"CCl4 with biotite, HS- dependence at 50°C",CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2; CHCl3; CO2; CO; non-volatile,1,0.1,day⁻¹,NA,NA,NA,NA,50,°C,7.5-8.8,initial,1,µM,sheet silicate,1.45,m²/g,批次,HS-浓度,0,厌氧,SC=55.8 m²/L; k'hetero independent of [HS-],,Environ. Sci. Technol.
"CCl4 with biotite, low HS- at 50°C",CCl4 + HS- → CS2 + products,总反应,还原,CCl4,CS2; CHCl3; CO2; CO; non-volatile,1,NA,day⁻¹,NA,NA,NA,NA,50,°C,7.5-8.8,initial,1,µM,sheet silicate,1.45,m²/g,批次,HS-浓度,1.16-1.34,厌氧,SC=55.8 m²/L; reaction order β2=1.16-1.34,,Environ. Sci. Technol.
CHCl3 persistence with biotite at 50°C,CHCl3 + HS- → products,总反应,还原,CHCl3,NA,1,0.004,day⁻¹,172,d,NA,NA,50,°C,8.6,initial,5,µM,sheet silicate,1.45,m²/g,批次,NA,NA,厌氧,SC=55.8 m²/L; CHCl3 persistent,,Environ. Sci. Technol.
CCl4 with Aerosil 200 at 50°C,CCl4 + HS- → products,总反应,还原,CCl4,NA,1,0.26,day⁻¹,NA,NA,NA,NA,50,°C,7.9,initial,1,µM,amorphous SiO2,200,m²/g,批次,NA,NA,厌氧,SC=700 m²/L,,Environ. Sci. Technol.
CCl4 with gibbsite at 50°C,CCl4 + HS- → products,总反应,还原,CCl4,NA,1,0.006,day⁻¹,NA,NA,NA,NA,50,°C,8,initial,1,µM,α-Al(OH)3,11.4,m²/g,批次,NA,NA,厌氧,SC=5 m²/L; no enhancement over homogeneous,,Environ. Sci. Technol.
