反应描述,脱氯步骤,反应类型,反应物,产物,速率常数,速率常数_单位,表面反应速率常数,表面反应速率常数_单位,反应级数,半衰期,半衰期_单位,活化能,活化能_单位,温度,温度_单位,pH,氧化还原电位,氧化还原电位_单位,固相矿物类型,矿物比表面积,矿物比表面积_单位,初始浓度,初始浓度_单位,矿物名称,矿物化学式,溶度积,溶度积_单位,沉淀速率常数,沉淀速率常数_单位,溶解速率常数,溶解速率常数_单位,离子活度积,离子活度积_单位,过饱和度,实验体系,其他条件,参考文献
CF reduction in HA 50 mg L⁻¹ (Table 1),总反应,还原,Chloroform,NA,32.4±3.57,h⁻¹ × 10⁻²,49.8±5.49,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 50 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CTC reduction in HA 200 mg L⁻¹ (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,2.81±0.56,h⁻¹,4.32±0.86,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 200 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CF reduction in HA 200 mg L⁻¹ (Table 1),总反应,还原,Chloroform,NA,5.51±0.69,h⁻¹ × 10⁻²,8.48±1.06,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 200 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CTC reduction in HA 1000 mg L⁻¹ (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,2.68±0.47,h⁻¹,4.12±0.72,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 1000 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CF reduction in HA 1000 mg L⁻¹ (Table 1),总反应,还原,Chloroform,NA,2.21±0.43,h⁻¹ × 10⁻²,3.40±0.66,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 1000 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CTC reduction in SDS 0.125 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,1.18±0.23,h⁻¹,1.82±0.35,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS 0.125 CMC (CMC=8.0 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in SDS 0.125 CMC (Table 1),总反应,还原,Chloroform,NA,2.07±0.71,h⁻¹ × 10⁻²,3.18±1.09,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS 0.125 CMC (CMC=8.0 mM), ZVI loading 2.5 g L⁻¹",
CTC reduction in SDS 1 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,1.47±0.25,h⁻¹,2.26±0.38,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS 1 CMC (CMC=8.0 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in SDS 1 CMC (Table 1),总反应,还原,Chloroform,NA,5.39±0.46,h⁻¹ × 10⁻²,8.29±0.71,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS 1 CMC (CMC=8.0 mM), ZVI loading 2.5 g L⁻¹",
CTC reduction in SDS 3 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,1.60±0.08,h⁻¹,2.46±0.12,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS 3 CMC (CMC=8.0 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in SDS 3 CMC (Table 1),总反应,还原,Chloroform,NA,8.20±0.13,h⁻¹ × 10⁻²,12.6±0.20,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS 3 CMC (CMC=8.0 mM), ZVI loading 2.5 g L⁻¹",
CTC reduction in CTAB 0.1 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,9.58±1.69,h⁻¹,14.7±2.60,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB 0.1 CMC (CMC=1.0 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in CTAB 0.1 CMC (Table 1),总反应,还原,Chloroform,NA,1.54±0.10,h⁻¹ × 10⁻²,2.37±0.15,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB 0.1 CMC (CMC=1.0 mM), ZVI loading 2.5 g L⁻¹",
CTC reduction in CTAB 1 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,7.74±1.05,h⁻¹,11.9±1.62,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB 1 CMC (CMC=1.0 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in CTAB 1 CMC (Table 1),总反应,还原,Chloroform,NA,2.51±0.87,h⁻¹ × 10⁻²,3.86±1.34,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB 1 CMC (CMC=1.0 mM), ZVI loading 2.5 g L⁻¹",
CTC reduction in CTAB 10 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,9.43±1.36,h⁻¹,14.5±2.09,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB 10 CMC (CMC=1.0 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in CTAB 10 CMC (Table 1),总反应,还原,Chloroform,NA,3.65±0.54,h⁻¹ × 10⁻²,5.48±0.83,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"CTAB 10 CMC (CMC=1.0 mM), ZVI loading 2.5 g L⁻¹",
CTC reduction in NPE 0.167 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,5.17±0.07,h⁻¹,7.95±0.11,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"NPE 0.167 CMC (CMC=0.1 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in NPE 0.167 CMC (Table 1),总反应,还原,Chloroform,NA,1.51±0.12,h⁻¹ × 10⁻²,2.32±0.18,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"NPE 0.167 CMC (CMC=0.1 mM), ZVI loading 2.5 g L⁻¹",
CTC reduction in NPE 1 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,9.62±1.79,h⁻¹,14.8±2.75,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"NPE 1 CMC (CMC=0.1 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in NPE 1 CMC (Table 1),总反应,还原,Chloroform,NA,1.34±0.10,h⁻¹ × 10⁻²,2.06±0.15,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"NPE 1 CMC (CMC=0.1 mM), ZVI loading 2.5 g L⁻¹",
CTC reduction in NPE 10 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,7.11±1.00,h⁻¹,10.9±1.60,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"NPE 10 CMC (CMC=0.1 mM), ZVI loading 2.5 g L⁻¹",
CF reduction in NPE 10 CMC (Table 1),总反应,还原,Chloroform,NA,1.02±0.33,h⁻¹ × 10⁻²,1.57±0.51,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"NPE 10 CMC (CMC=0.1 mM), ZVI loading 2.5 g L⁻¹",
"CCl4 degradation by 99.99% pure iron, 1-day aging with high S-concentration (Table 1, Fig. 1a)",总反应,还原,CCl4,CHCl3,2.4×10⁻³,h⁻¹,NA,NA,1,288.8,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,0.02,m²/g,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, 10⁻³ M Na2S, N2 atmosphere, R²=0.53",Influence of Na2S on the degradation kinetics of CCl4 in the presence of very pure iron
"CCl4 degradation by 99.99% pure iron, 1-day aging with low S-concentration (Table 1, Fig. 1a)",总反应,还原,CCl4,CHCl3,6.0×10⁻³,h⁻¹,NA,NA,1,115.5,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,0.02,m²/g,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, 10⁻⁵ M Na2S, N2 atmosphere",
"CCl4 degradation by 99.99% pure iron, 10-day aging with high S-concentration (Table 1, Fig. 1b)",总反应,还原,CCl4,CHCl3,1.2×10⁻²,h⁻¹,NA,NA,1,57.8,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,NA,NA,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, 10⁻³ M Na2S, N2 atmosphere",
"CCl4 degradation by 99.99% pure iron, 10-day aging with low S-concentration (Table 1, Fig. 1b)",总反应,还原,CCl4,CHCl3,1.2×10⁻²,h⁻¹,NA,NA,1,57.8,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,NA,NA,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, 10⁻⁵ M Na2S, N2 atmosphere",
"CCl4 degradation by 99.99% pure iron, 30-day aging with high S-concentration (Table 1, Fig. 1c)",总反应,还原,CCl4,CHCl3,1.8×10⁻²,h⁻¹,NA,NA,1,38.5,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,NA,NA,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, 10⁻³ M Na2S, N2 atmosphere",
"CCl4 degradation by 99.99% pure iron, 30-day aging with low S-concentration (Table 1, Fig. 1c)",总反应,还原,CCl4,CHCl3,1.2×10⁻²,h⁻¹,NA,NA,1,57.8,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,0.58,m²/g,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, 10⁻⁵ M Na2S, N2 atmosphere, 25-day BET measurement",
"CCl4 degradation by 99.99% pure iron, 60-day aging with high S-concentration (Table 1, Fig. 1d)",总反应,还原,CCl4,CHCl3,2.4×10⁻²,h⁻¹,NA,NA,1,28.9,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,NA,NA,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, 10⁻³ M Na2S, N2 atmosphere",
"CCl4 degradation by 99.99% pure iron, 60-day aging with low S-concentration (Table 1, Fig. 1d)",总反应,还原,CCl4,CHCl3,1.2×10⁻²,h⁻¹,NA,NA,1,57.8,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,NA,NA,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, 10⁻⁵ M Na2S, N2 atmosphere",
"CCl4 degradation by 99.99% pure iron control, averaged across aging times (Table 1, Fig. 1)",总反应,还原,CCl4,CHCl3,1.26×10⁻²,h⁻¹,1.14×10⁻²,L h⁻¹ m⁻²,1,57.8,h,NA,NA,NA,NA,9.1,300,mV vs. SHE,纯铁,0.02,m²/g,0.035,M,NA,Fe,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"0.1 M NaHCO3, no Na2S, N2 atmosphere",
CTC reduction with 0.2% Pd/Fe (Table 1),总反应,还原,CTC,"CF, DCM, methane",10.64,h⁻¹,1.61E-1,l h⁻¹ m⁻²,1,0.07,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",Iron-mediated reduction rates and pathways of halogenated methanes with nanoscale Pd/Fe: Analysis of linear free energy relationship
CF reduction with 0.2% Pd/Fe (Table 1),总反应,还原,CF,"DCM, methane",0.47,h⁻¹,7.11E-3,l h⁻¹ m⁻²,1,1.47,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTB reduction with 0.2% Pd/Fe (Table 1),总反应,还原,CTB,"BF, DBM, BM, methane",17.41,h⁻¹,2.63E-1,l h⁻¹ m⁻²,1,0.04,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,61,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTC reduction with 1% Pd/Fe (Table 1),总反应,还原,CTC,"CF, methane",56.04,h⁻¹,8.47E-1,l h⁻¹ m⁻²,1,0.01,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CF reduction with 1% Pd/Fe (Table 1),总反应,还原,CF,methane,0.89,h⁻¹,1.35E-2,l h⁻¹ m⁻²,1,0.78,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTC reduction with Fe (Table 1),总反应,还原,CTC,"CF, methane",3.96,h⁻¹,5.99E-2,l h⁻¹ m⁻²,1,0.18,h,NA,NA,22±1,°C,7,NA,NA,Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CF reduction with Fe (Table 1),总反应,还原,CF,products,3.39E-2,h⁻¹,5.13E-4,l h⁻¹ m⁻²,1,20.45,h,NA,NA,22±1,°C,7,NA,NA,Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTC reduction with 0.2% Pd/Fe (Table 1),总反应,还原,CTC,"CF, DCM, methane",10.64,h⁻¹,1.61E-1,l h⁻¹ m⁻²,1,0.07,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CF reduction with 0.2% Pd/Fe (Table 1),总反应,还原,CF,"DCM, methane",0.47,h⁻¹,7.11E-3,l h⁻¹ m⁻²,1,1.47,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTC reduction with 1% Pd/Fe (Table 1),总反应,还原,CTC,"CF, methane",56.04,h⁻¹,8.47E-1,l h⁻¹ m⁻²,1,0.01,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CF reduction with 1% Pd/Fe (Table 1),总反应,还原,CF,methane,0.89,h⁻¹,1.35E-2,l h⁻¹ m⁻²,1,0.78,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTC reduction with Fe (Table 1),总反应,还原,CTC,"CF, methane",3.96,h⁻¹,5.99E-2,l h⁻¹ m⁻²,1,0.18,h,NA,NA,22±1,°C,7,NA,NA,Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CF reduction with Fe (Table 1),总反应,还原,CF,products,3.39E-2,h⁻¹,5.13E-4,l h⁻¹ m⁻²,1,20.45,h,NA,NA,22±1,°C,7,NA,NA,Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTC reduction with 0.2% Pd/Fe (Table 1),总反应,还原,CTC,"CF, DCM, methane",10.64,h⁻¹,1.61E-1,l h⁻¹ m⁻²,1,0.07,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CF reduction with 0.2% Pd/Fe (Table 1),总反应,还原,CF,"DCM, methane",0.47,h⁻¹,7.11E-3,l h⁻¹ m⁻²,1,1.47,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTC reduction with 1% Pd/Fe (Table 1),总反应,还原,CTC,"CF, methane",56.04,h⁻¹,8.47E-1,l h⁻¹ m⁻²,1,0.01,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CF reduction with 1% Pd/Fe (Table 1),总反应,还原,CF,methane,0.89,h⁻¹,1.35E-2,l h⁻¹ m⁻²,1,0.78,h,NA,NA,22±1,°C,7,NA,NA,Pd/Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CTC reduction with Fe (Table 1),总反应,还原,CTC,"CF, methane",3.96,h⁻¹,5.99E-2,l h⁻¹ m⁻²,1,0.18,h,NA,NA,22±1,°C,7,NA,NA,Fe纳米颗粒,26,m² g⁻¹,122,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
CF reduction with Fe (Table 1),总反应,还原,CF,products,3.39E-2,h⁻¹,5.13E-4,l h⁻¹ m⁻²,1,20.45,h,NA,NA,22±1,°C,7,NA,NA,Fe纳米颗粒,26,m² g⁻¹,167,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"金属负载量2.5 g/l, 无顶空",
"CCl4 dechlorination by GR(Cl) at pH 7.2 (Figure 1, text page 4084)",第1步,还原,CCl4,CHCl3,0.0808,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,°C,7.2,NA,NA,chloride green rust,NA,NA,20,µM,chloride green rust,[FeII3FeIII(OH)8][Cl·H2O],NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,GR(Cl) concentration 1.5 g L⁻¹,Enhanced dechlorination of chlorinated methanes and ethenes by chloride green rust in the presence of copper(II)
"CCl4 dechlorination by GR(Cl) with 0.5 mM Cu(II) at pH 7.2 (Figure 1, text page 4084)",第1步,还原,CCl4,CHCl3,6.779,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,°C,7.2,NA,NA,chloride green rust,NA,NA,20,µM,chloride green rust,[FeII3FeIII(OH)8][Cl·H2O],NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"GR(Cl) 1.5 g L⁻¹, Cu(II) 0.5 mM",
"CHCl3 dechlorination by GR(Cl) with 0.5 mM Cu(II) (Figure 1, text page 4084)",第2步,还原,CHCl3,nonchlorinated products,0.471,h⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,°C,7.2,NA,NA,chloride green rust,NA,NA,13,µM,chloride green rust,[FeII3FeIII(OH)8][Cl·H2O],NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"GR(Cl) 1.5 g L⁻¹, Cu(II) 0.5 mM",
"CCl4 degradation by 0.2 wt.% Ag/Fe, Stage I (Table 2, Figure 4)",第1步,还原,CCl4,CHCl3,0.0214,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 0.2 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",Rapid Degradation of Carbon Tetrachloride by Microscale Ag/Fe Bimetallic Particles
"CCl4 degradation by 0.2 wt.% Ag/Fe, Stage II (Table 2, Figure 4)",第2步,还原,CCl4,CHCl3,0.1193,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 0.2 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation by 0.4 wt.% Ag/Fe, Stage I (Table 2, Figure 4)",第1步,还原,CCl4,CHCl3,0.0454,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 0.4 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation by 0.4 wt.% Ag/Fe, Stage II (Table 2, Figure 4)",第2步,还原,CCl4,CHCl3,0.1269,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 0.4 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation by 0.6 wt.% Ag/Fe, Stage I (Table 2, Figure 4)",第1步,还原,CCl4,CHCl3,0.0501,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 0.6 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation by 0.6 wt.% Ag/Fe, Stage II (Table 2, Figure 4)",第2步,还原,CCl4,CHCl3,0.1151,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 0.6 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
"CCl4 degradation by 0.8 wt.% Ag/Fe, Stage I (Table 2, Figure 4)",第1步,还原,CCl4,CHCl3,0.0435,min⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,Ag/Fe bimetallic particles,0.093,m²/g,2.0×10⁴,µg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Ag loading 0.8 wt.%, Ag/Fe dosage 20 g/L, stirring rate 200 rpm",
